Participant,Profit Rank,Model Accuracy Rank,Market Share,RMSE,Average Profit
 sourabh_jha,123,90,0.621,499.834,-342514.162
 jai_wei_choo,116,91,0.233,499.837,-302675.025
  bikeactuary,233,92,0.845,499.847,-2189084.457
 leocd,163,93,0.365,499.85,-690141.772
  MMi,182,94,0.657,499.858,-868374.097
 patrik,57,95,0.028,499.859,-64860.429
 navarunj,234,96,0.423,499.86,-2215052.868
 jpetterson,22,97,0.004,499.866,-3437.52
 luciano_naveiro,200,98,0.631,499.87,-1088815.399
 tangohead,23,99,0.001,499.873,-4189.174
 Baracuda,90,100,0.116,499.874,-157080.235
 nick_corona,24,101,0.012,499.876,-5335.593
  GORNYAKI,113,102,0.177,499.881,-260060.926
 TMK_Rich,40,105,0.057,499.891,-28261.683
 jbm1966,125,106,0.129,499.904,-365031.722
 xiaowanzi_918,75,107,0.154,499.909,-104371.383
 powa,78,107,0.055,499.909,-106973.843
 RWB,142,107,0.467,499.909,-488530.581
 tarasovalx,34,110,0.039,499.917,-19490.824
  Neumanu,38,110,0.025,499.917,-26339.293
 tor_martin_c,121,112,0.336,499.921,-332843.843
 matiasbatto,178,113,0.433,499.925,-844095.332
 AmanG_iitian,19,114,0.001,499.93,-280.122
 ktmills93,103,115,0.159,499.931,-197686.465
  Dexteritas,59,116,0.048,499.933,-65437.106
 nukl3ar,117,117,0.211,499.935,-303424.395
 moto,61,118,0.009,499.936,-66567.229
 faisal_goussous,165,119,0.443,499.938,-721668.689
 chuoxiang_zhao,187,125,0.614,499.957,-922089.409
 tmon01,12,126,0,499.966,198.359
 iminokhi,13,127,0.003,499.973,10.161
 yevgen_kravchenko,206,128,0.789,499.977,-1258407.929
 alieksandr_kim,176,129,0.601,499.981,-831070.12
 mam_insurance,189,129,0.6,499.981,-939802.457
 Zinan,156,131,0.168,499.998,-618746.122
 AlainBugnon,219,132,0.595,500.007,-1577448.132
 nopenope,197,133,0.556,500.009,-1054808.183
 fredrlwo,157,135,0.195,500.012,-620440.615
 Tedd_Miano,86,136,0.144,500.019,-141554.462
 TMKVencel,93,136,0.14,500.019,-166676.792
 mingyu_yang,104,138,0.07,500.027,-203972.262
  CrazyData,36,139,0.022,500.031,-22523.176
 Tonie12,70,140,0.086,500.038,-94266.157
 DewZo33,114,142,0.114,500.057,-282617.405
  E.T.Insurance,153,143,0.158,500.06,-587683.092
 zhengyh,66,144,0.231,500.069,-77374.274
 sina1374,243,145,0.808,500.082,-7135278.033
 braica,141,146,0.089,500.087,-471489.074
 Maxime_Comeau,21,147,0,500.088,-1102.075
 andrew_muth,29,148,0.024,500.092,-8247.922
 shahzeb_yousuf,201,149,0.405,500.095,-1128785.843
  Patagucci,91,150,0.146,500.098,-157949.997
  NotTheInternalActuarialDeptWhoseDataWeUsed,118,151,0.125,500.108,-307425.028
 mkeywood,139,152,0.205,500.119,-462636.798
  One_Piece,28,153,0.002,500.144,-8070.838
 yixxas,128,154,0.193,500.147,-371660.223
 cheikhnokho,248,155,0,500.153,0
  Team237,47,156,0.038,500.154,-44203.346
 alarih,186,157,0.478,500.157,-919320.776
 brendon,179,158,0.435,500.16,-849945.803
 aureliantactics,248,159,0,500.173,0
 alan_feder,221,160,0.779,500.177,-1612538.617
 michelle_chen,209,161,0.744,500.22,-1329039.021
  Gem,252,162,0,500.236,-27.658
 Lucile_LB,109,163,0.045,500.239,-251734.603
 walaa,147,164,0.342,500.246,-551480.218
 rejulien,195,165,0.667,500.249,-1026821.626
 roeez,239,166,0.665,500.25,-3218910.712
 lorentzo,50,168,0.024,500.262,-44779.372
 ross_farnaby,95,168,0.095,500.262,-171764.423
 WHM,184,170,0.376,500.271,-891965.51
  QowTee,63,171,0.056,500.273,-70605.335
 switalaartur,216,172,0.538,500.297,-1545298.511
  asapoo,207,175,0.395,500.304,-1275093.673
 aEZIOu,211,176,0.555,500.318,-1436397.025
 aleysia,77,177,0.124,500.335,-106494.96
  BimaYetu,92,178,0.029,500.363,-162974.615
  Igloo,89,179,0.02,500.381,-144464.369
 rosst,210,180,0.454,500.386,-1380471.563
  One2threE,226,182,0.387,500.395,-1884376.132
 SG_da,248,183,0,500.41,0
 sergey_satunin,172,184,0.352,500.411,-759273.795
 glatzkopfguru,220,186,0.293,500.43,-1594210.638
 c0112358,217,188,0.519,500.448,-1565560.652
 kamil_singh,110,189,0.079,500.46,-255636.573
 chris3,241,190,0.742,500.496,-4655305.962
 anna_kris,175,193,0.377,500.518,-830690.618
  b99,180,194,0.149,500.521,-858840.448
 JustWonton,203,195,0.498,500.533,-1153412.786
 raphael_pierre,190,196,0.312,500.535,-966395.188
 sho-,76,197,0.019,500.579,-104467.106
 t_p,188,198,0.413,500.583,-928325.628
  The_H_Hs,238,199,0.51,500.597,-3013671.988
 yemyemkam,247,200,0,500.607,0.268
 Batom,248,201,0,500.609,0
 mohammad_abdollahi,111,202,0.08,500.671,-258380.446
  Price_R_Us,85,203,0.059,500.675,-138730.518
 robbsson,198,203,0.386,500.675,-1062209.481
 coconut,27,206,0.001,500.686,-7658.667
  AlphA,173,207,0.179,500.707,-767919.551
 nim_j,32,209,0.001,500.832,-10682.157
 kevinrossell,133,210,0.219,500.866,-391088.346
 sdfg_ds,194,211,0.504,500.878,-1009215.33
 mayank0097,137,212,0.109,500.916,-448464.767
  Durbar-e-ML,71,214,0.043,500.967,-94447.363
  AAbuffalo,138,215,0.402,500.97,-455366.824
  Reniam,105,216,0.05,501.013,-211447.922
 ArnabDey,87,218,0.071,501.203,-142117.169
 cchanzl,202,220,0.307,501.33,-1138904.201
 hamham20,199,221,0.52,501.343,-1082541.627
  TeamFed,225,223,0.402,501.499,-1834539.804
 jamesblack6,177,224,0.178,501.558,-838750.799
 chezmoi,191,224,0.288,501.558,-996283.903
  AdoiDados,214,226,0.352,501.694,-1522892.584
 ac00std,215,227,0.356,501.705,-1537066.936
 Zea,31,228,0,501.729,-9264.519
  AIR_team,222,231,0.376,501.825,-1647308.502
 themathsguy,16,232,0,501.831,-107.52
  iMate,140,233,0.08,501.858,-465967.081
 dieleitter,144,235,0.082,501.954,-504496.901
 skiracer,124,236,0.128,502.204,-360814.463
 theworst,108,237,0.196,502.231,-238469.093
  PI,181,238,0.114,502.264,-866454.159
  betester,196,240,0.455,502.291,-1042069.283
 TuT,236,240,0.561,502.291,-2466960.702
 YaoLin,227,242,0.38,502.649,-1904800.462
 jonathan_aguilera_21,166,243,0.495,502.734,-727049.17
 Woolhouse,143,244,0.166,502.735,-488854.54
 lokmen_messaoudi,204,246,0.309,502.973,-1203365.008
  PAIC,228,247,0.493,502.977,-1937600.654
 alpertemel,20,248,0,503.098,-569.087
  symphony,224,249,0.372,503.186,-1718741.851
 berberos,161,250,0.121,503.306,-673538.954
  MercMaker,26,251,0.003,503.487,-7355.03
 Pixyli,223,252,0.482,503.524,-1661551.371
  letsanalyze,229,253,0.416,503.73,-2030341.842
 marcellonegro,72,254,0.031,503.829,-97741.959
 alex_firstov,240,255,0.487,503.862,-3909559.244
 harnagpal,152,256,0.093,503.87,-582658.857
 john_irving,231,256,0.429,503.87,-2101002.807
 mark_kinuthia_thuo,102,271,0.03,503.871,-195707.768
 marouan0675,136,271,0.074,503.871,-447521.992
  shiga,168,271,0.142,503.871,-756899.114
 joseph_young,168,271,0.142,503.871,-756899.114
 mchoisuren,168,271,0.142,503.871,-756899.114
 tsfsts,168,271,0.142,503.871,-756899.114
 Mkmworld,149,277,0.104,503.926,-570290.969
 brian_whannou,48,278,0.007,504.176,-44299.587
 jess_kang,97,279,0.087,504.226,-186482.412
  MiCorp,242,307,0.813,504.272,-6499333.693
 matt_simmerson,230,308,0.404,504.425,-2052077.844
  abab,205,309,0.262,504.905,-1222235.629
 panwire,235,311,0.116,506.008,-2379067.803
 sai_krithik,237,311,0.105,506.008,-2818395.019
 nix,135,313,0.2,506.935,-423069.585
 krivonogov,106,314,0.157,506.994,-220267.342
 lance_25,162,315,0.257,507.232,-685654.087
 vavan137,42,316,0.006,507.541,-39088.186
 za613,232,317,0.405,507.712,-2116304.422
 Beau2112,94,318,0.133,508.002,-167948.816
 mohith_k_sakthivel,11,319,0,508.546,487.231
  Apocalypse,208,321,0.422,509.924,-1276138.625
 Toli,245,323,0.992,516.114,-9908625.202
  KuKu,53,324,0.012,516.663,-53209.473
 ottis_cool,174,325,0.288,518.307,-824715.857
